link,price,title,photo_id,page_n,clothing_type
https://roe.shein.com/Floral-Embroidery-Mesh-Bustier-Cami-Top-p-10466564-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",Floral Embroidery Mesh Bustier Cami Top,tops_1_51,1,tops
https://roe.shein.com/Slogan-Butterfly-Print-Drop-Shoulder-Tee-p-10166368-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"10,00€",Slogan & Butterfly Print Drop Shoulder Tee,tops_1_52,1,tops
https://roe.shein.com/Floral-Butterfly-Print-Tee-p-10714494-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",Floral & Butterfly Print Tee,tops_1_53,1,tops
https://roe.shein.com/Figure-And-Letter-Graphic-Tee-p-10598975-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Figure And Letter Graphic Tee,tops_1_54,1,tops
https://roe.shein.com/Solid-Cross-Crop-Halter-Top-p-10369306-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",Solid Cross Crop Halter Top,tops_1_55,1,tops
https://roe.shein.com/SHEIN-Allover-Floral-Print-Flutter-Sleeve-Popover-Blouse-p-10575310-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",SHEIN Allover Floral Print Flutter Sleeve Popover Blouse,tops_1_56,1,tops
https://roe.shein.com/Wrap-Front-Sleeveless-Blouse-p-10536212-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"11,00€",Wrap Front Sleeveless Blouse,tops_1_57,1,tops
https://roe.shein.com/O-ring-Detail-Crisscross-Tie-Front-Backless-Halter-Top-p-10301691-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",O-ring Detail Crisscross Tie Front Backless Halter Top,tops_1_58,1,tops
https://roe.shein.com/SHEIN-SXY-Ruched-Bust-Puff-Sleeve-Lace-Up-Backless-Blouse-p-10274191-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",SHEIN SXY Ruched Bust Puff Sleeve Lace Up Backless Blouse,tops_1_59,1,tops
https://roe.shein.com/Paisley-Print-Asymmetrical-Hem-Tie-Back-Cami-Top-p-7431792-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",Paisley Print Asymmetrical Hem Tie Back Cami Top,tops_1_60,1,tops
https://roe.shein.com/Striped-Twist-Cut-Out-Tube-Top-p-10448032-cat-2223.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"4,00€",Striped Twist Cut Out Tube Top,tops_1_61,1,tops
https://roe.shein.com/Cut-Out-Wrap-Cross-Hook-And-Eye-Backless-Halter-Top-p-10255542-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",Cut Out Wrap Cross Hook And Eye Backless Halter Top,tops_1_62,1,tops
