link,price,title,photo_id,page_n,clothing_type,title_lemmatized,topic
https://roe.shein.com/Guipure-Lace-Panel-Petal-Sleeve-Blouse-p-10760646-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",guipure lace panel petal sleeve blouse,tops_1_28,1,tops,"['guipure', 'lace', 'panel', 'petal', 'sleeve', 'blouse']",8
https://roe.shein.com/Two-Tone-Off-Shoulder-Ruffle-Trim-Blouse-p-10760779-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"8,00€",two tone off shoulder ruffle trim blouse,tops_1_29,1,tops,"['two', 'tone', 'off', 'shoulder', 'ruffle', 'trim', 'blouse']",8
https://roe.shein.com/Letter-Graphic-Contrast-Trim-Tee-p-10381103-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"6,00€",letter graphic contrast trim tee,tops_1_30,1,tops,"['letter', 'graphic', 'contrast', 'trim', 'tee']",11
https://roe.shein.com/Cut-Out-Rib-knit-Crop-Tank-Top-p-10510336-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"5,00€",cut out rib-knit crop tank top,tops_1_31,1,tops,"['cut', 'out', 'rib-knit', 'crop', 'tank', 'top']",0
https://roe.shein.com/Reflective-Butterfly-Print-Drop-Shoulder-Tee-p-10658251-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",reflective butterfly print drop shoulder tee,tops_1_32,1,tops,"['reflective', 'butterfly', 'print', 'drop', 'shoulder', 'tee']",11
https://roe.shein.com/Llama-Slogan-Graphic-Tee-p-9797567-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",llama & slogan graphic tee,tops_1_33,1,tops,"['llama', '&', 'slogan', 'graphic', 'tee']",-1
https://roe.shein.com/Astronaut-Print-Tee-p-10390284-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",astronaut print tee,tops_1_34,1,tops,"['astronaut', 'print', 'tee']",11
https://roe.shein.com/Knot-Shoulder-Colorblock-Cami-Top-p-10557556-cat-1779.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"11,00€",knot shoulder colorblock cami top,tops_1_35,1,tops,"['knot', 'shoulder', 'colorblock', 'cami', 'top']",0
https://roe.shein.com/SHEIN-SXY-Two-Tone-Letter-Graphic-Chain-Drop-Shoulder-Crop-Tee-p-10580643-cat-1738.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"9,00€",shein sxy two tone letter graphic chain drop shoulder crop tee,tops_1_36,1,tops,"['shein', 'sxy', 'two', 'tone', 'letter', 'graphic', 'chain', 'drop', 'shoulder', 'crop', 'tee']",11
https://roe.shein.com/Geo-Print-Batwing-Sleeve-Popover-Blouse-p-10903693-cat-1733.html?src_identifier=fc%3DWomen%60sc%3DCLOTHING%60tc%3DTOPS%60oc%3D0%60ps%3Dtab01navbar05menu01%60jc%3Dreal_1766&src_module=topcat&src_tab_page_id=page_real_class1657646979980&attr_ids=&scici=navbar_WomenHomePage~~tab01navbar05menu01~~5_1~~real_1766~~~~0,"7,00€",geo print batwing sleeve popover blouse,tops_1_37,1,tops,"['geo', 'print', 'batwing', 'sleeve', 'popover', 'blouse']",8
